PLAYER,POS,MPG,FG.,FT.,X3PM,PTS,TREB,AST,STL,BLK,TO,PUNT_FG,PUNT_FT,PUNT_3PM,PUNT_PTS,PUNT_AST,PUNT_STL,PUNT_BLK,PUNT_TO
Harrison Barnes,"SF,PF",34.9,0.46,0.82,1.5,14.7,4.8,2.4,0.6,0.2,1.3,1,0,0,0,0,0,0,0
Miles Bridges,"SF,PF",30.7,0.42,0.8,1.5,13,5.6,1.8,0.6,0.7,1.4,1,0,0,0,1,0,0,0
Duncan Robinson,"SG,SF,PF",30,0.47,0.88,3.7,13.3,3.3,1.4,0.5,0.2,0.9,0,0,0,0,1,0,1,0
JJ Redick ,SG,26.4,0.45,0.9,2.9,14.9,2.6,2,0.4,0.2,1.2,0,0,0,0,1,0,1,0
Jordan Clarkson,"PG,SG",24.2,0.47,0.83,2.1,15.1,2.7,2,0.7,0.2,1.3,0,0,0,0,1,0,1,0
Seth Curry ,"PG,SG",24.5,0.5,0.87,2.3,12.6,2.3,2,0.6,0.1,1,0,0,0,0,1,0,1,0
Patty Mills,PG,22.7,0.43,0.88,2.3,11.7,1.6,1.8,0.8,0.1,0.8,1,0,0,0,1,0,1,0
Zach Collins ,"PF,C",28.8,0.48,1,1,9,4,2,0,0.7,2,0,0,0,0,1,0,0,0
Reggie Jackson,"PG,SG",24.2,0.42,0.79,2,12.8,2.9,4.4,0.4,0.2,1.7,1,0,0,0,0,0,1,0
D.J. Augustin,PG,24.8,0.4,0.88,1.2,10.4,2.2,4.6,0.6,0,1.4,1,0,0,0,0,0,1,0
Aaron Holiday,"PG,SG",23.6,0.41,0.92,1.4,9.4,2.3,3.3,0.8,0.2,1.3,1,0,0,0,0,0,1,0
Khris Middleton,"SG,SF",30.1,0.5,0.89,2.4,21.1,6.2,4.1,0.9,0.1,2,0,0,0,0,0,0,1,0
Kemba Walker ,PG,31.8,0.42,0.87,3.3,21.2,4.1,4.9,0.9,0.5,2.1,1,0,0,0,0,0,1,0
Jamal Murray,"PG,SG",32.8,0.45,0.91,1.9,18.8,3.9,4.8,1.2,0.3,2.3,0,0,0,0,0,0,1,0
Kevin Love,"PF,C",31.8,0.45,0.85,2.6,17.6,9.8,3.2,0.6,0.3,2.5,0,0,0,0,0,0,1,0
Buddy Hield,SG,32,0.43,0.9,3.8,19.8,4.8,3.1,1,0.3,2.3,1,0,0,0,0,0,1,0
Danilo Gallinari,"SF,PF",30.7,0.44,0.9,3,19.2,5.5,2.1,0.7,0.1,1.3,1,0,0,0,0,0,1,0
